WARD_NO,WARD_NAME,latitude,longitude
600001,Madras Gpo,13.0656,80.2672
600002,Madras Electricity System,13.0656,80.2672
600003,Madras Medical College,13.0656,80.2672
600004,Luz Church Road,13.0656,80.2672
600005,Chepauk,13.0594,80.2789
600006,Cathedral,13.0656,80.2672
600008,Egmore,13.0717,80.2556
600009,Fort St George,13.0656,80.2672
600012,Decoster Road,13.0025,80.2061
600014,Ligods Estate,13.0025,80.2061
600015,Saidapet Madras,13.0025,80.2061
600016,Alandur,13.0025,80.2061
600017,Usman Road,13.0025,80.2061
600018,Chamiers Road,13.0025,80.2061
600019,Kaladipet,13.0025,80.2061
600020,Adyar,13.0044,80.2583
600021,Washermanpetta,13.0206,80.2417
600022,Raj Bhavan Madras Raja,13.0206,80.2417
600025,Engineering College Directorat,13.0206,80.2417
600026,Vadapalani,13.0511,80.2125
600027,Madras Air Port,13.0206,80.2417
600028,R A Puram Colony,13.0206,80.2417
600031,Chetput H O,13.0389,80.2258
600032,Alandur North,13.0389,80.2258
600033,West Mambalam,13.0389,80.2258
600034,Loyla College,13.0389,80.2258
600036,Indian Inst Of Technology,13.0389,80.2258
600037,Offiers Trg School,13.0389,80.2258
600038,I C F Colony,13.0389,80.2258
600043,Rajainagar,13.0385,80.2345
600044,Bharathipuram,13.0385,80.2345
600045,Tambaram H O,13.0385,80.2345
600046,Tambaram I A F,13.0385,80.2345
600047,Tambaram Sanitorium,13.0385,80.2345
600050,Padi South,13.0385,80.2345
600051,Madhavaram Milk Colony,13.0385,80.2345
600052,Padianallur,13.0385,80.2345
600053,Orgadam,13.0385,80.2345
600054,Central Vehicle Research,13.0385,80.2345
600055,Central Vehicle Depot,13.0385,80.2345
600057,Ennur Thermal Station,13.0385,80.2345
600059,Tambaram East,13.0385,80.2345
600060,Madhavaram,13.1492,80.2367
600061,Naganallur,13.1492,80.2367
600066,Kadirvedu,13.1492,80.2367
600078,K K Nagar,13.0385,80.2345
600082,Agaram,13.11,80.2333
600084,Gaugadeeswaran Koil,13.0499,80.2319
600086,Gopalapuram,13.0472,80.2578
600088,Ganesh Nagar,12.9925,80.2044
600090,Besantnagat South,12.9953,80.2672
600091,Madipakkam,12.9725,80.2092
600093,Saligramam South,13.0481,80.2014
600095,Jaffarkhanpet,13.0278,80.2156
600097,Defence Officers Colony,13.0109,80.2233
600104,High Court Buildings,12.9819,80.2406
600105,C-In-C Road,12.9819,80.2406
600106,D G Vaishnav College,12.9819,80.2406
600109,Railway Car Shed Complex,12.9819,80.2406
600113,Taramani,12.9819,80.2406
601105,Vadamadurai,10.4667,78.0833
601202,Madarpakkam,11.6969,79.0969
601211,Elavur,11.6969,79.0969
601212,Iguvarpalayam,11.6969,79.0969
601213,Jothinagar (Cpt),11.6969,79.0969
601214,Devampattu,11.6969,79.0969
601301,Padappai,11.6969,79.0969
601303,Old Pallavaram,11.6969,79.0969
602003,Kakalur Ind Estate,13.1575,79.9194
602021,Ikkadu,13.1575,79.9194
602024,Lakshmipuram,13.1575,79.9194
602026,Uttukottai,13.1575,79.9194
602028,Palavakkam,13.1575,79.9194
602031,Kalambakkam,13.1575,79.9194
603001,Chengalpattu R S,12.5576,80.0556
603002,Chengalpattu Cutcherry,12.5576,80.0556
603102,Sadras,12.5319,80.1611
603106,Orakkatupettai,12.5319,80.1611
603107,Salavakkam,12.5319,80.1611
603120,Ozhalur,12.5319,80.1611
603201,Elapakkam,12.5576,80.0556
603301,Acharapakkam West,12.5833,79.95
603307,Orathi,12.5833,79.95
603308,Padalam,12.5833,79.95
603311,Zamin Endathur,12.5833,79.95
603406,Uthiramerur,12.5576,80.0556
604101,Akshipakkam,12.375,79.6
604151,Alampoondi,12.375,79.6
604152,Nallanpillaipetral,12.375,79.6
604202,Bazar,27.1,88.45
604210,Illodu,12.375,79.6
604213,Naganur,12.375,79.6
604305,Olakkur,12.3167,79.7167
604402,Hasanamapettai,12.375,79.6
604415,Elankadu,12.375,79.6
604501,Desur,12.4333,79.4833
605001,Pondicherry Ho.,12.5205,79.8348
605002,Sri Arabindo Ashram,12.5205,79.8348
605003,Muthialpet,12.5205,79.8348
605004,Mudaliarpet,12.5205,79.8348
605005,Nellithope,12.5205,79.8348
605006,Dhanvantri Nagar,12.5205,79.8348
605007,Ariyankuppam,12.5205,79.8348
605008,Lawspet,12.5205,79.8348
605009,Thattanchavadi,12.5205,79.8348
605010,Reddiarpalayam,12.5205,79.8348
